,nodeA,nodeB,weight
359,Chris Matthews,Trump,10
360,Barry Burden,Trump,10
361,Madison,Trump,30
362,Trump,Trump,854
363,Heidi,Trump,11
364,Trump,Walker,10
365,Paul Ryan,Trump,70
366,Charles Franklin,Trump,10
367,Nate Cohn,Trump,10
368,Cohn,Trump,20
369,Paul Manafort,Trump,26
370,John Kasich,Trump,49
371,Kasich,Trump,10
372,Marco Rubio,Trump,84
373,Marquette,Trump,10
374,Tommy Thompson,Trump,10
375,Scott Klug,Trump,10
376,Hillary Clinton,Trump,170
377,Clinton,Trump,563
378,Rich Bonomo,Trump,10
379,Rebecca Forbes Wank,Trump,10
380,Charlie Sykes,Cruz,11
381,Charlie Sykes,Sykes,1
382,Charlie Sykes,Chris Matthews,1
383,Barry Burden,Charlie Sykes,1
384,Charlie Sykes,Madison,3
385,Charlie Sykes,Heidi,1
386,Charlie Sykes,Walker,1
387,Charlie Sykes,Paul Ryan,1
388,Charles Franklin,Charlie Sykes,1
389,Charlie Sykes,Nate Cohn,1
390,Charlie Sykes,Cohn,2
391,Charlie Sykes,Paul Manafort,1
392,Charlie Sykes,John Kasich,1
393,Charlie Sykes,Kasich,1
394,Charlie Sykes,Marco Rubio,1
395,Charlie Sykes,Marquette,1
396,Charlie Sykes,Tommy Thompson,1
397,Charlie Sykes,Scott Klug,1
398,Charlie Sykes,Hillary Clinton,1
399,Charlie Sykes,Clinton,2
400,Charlie Sykes,Rich Bonomo,1
401,Charlie Sykes,Rebecca Forbes Wank,1
402,Cruz,Sykes,11
403,Chris Matthews,Cruz,11
404,Barry Burden,Cruz,11
405,Cruz,Madison,33
406,Cruz,Heidi,23
407,Cruz,Walker,11
408,Cruz,Paul Ryan,11
409,Charles Franklin,Cruz,11
410,Cruz,Cruz,849
411,Cruz,Nate Cohn,11
412,Cohn,Cruz,22
413,Cruz,Paul Manafort,11
414,Cruz,John Kasich,39
415,Cruz,Kasich,11
416,Cruz,Marco Rubio,63
417,Cruz,Marquette,11
418,Cruz,Tommy Thompson,11
419,Cruz,Scott Klug,11
420,Cruz,Hillary Clinton,49
421,Clinton,Cruz,128
422,Cruz,Rich Bonomo,11
423,Cruz,Rebecca Forbes Wank,11
424,Chris Matthews,Sykes,1
425,Barry Burden,Sykes,1
426,Madison,Sykes,3
427,Heidi,Sykes,1
428,Sykes,Walker,1
429,Paul Ryan,Sykes,1
430,Charles Franklin,Sykes,1
431,Nate Cohn,Sykes,1
432,Cohn,Sykes,2
433,Paul Manafort,Sykes,1
434,John Kasich,Sykes,1
435,Kasich,Sykes,1
436,Marco Rubio,Sykes,1
437,Marquette,Sykes,1
438,Sykes,Tommy Thompson,1
439,Scott Klug,Sykes,1
440,Hillary Clinton,Sykes,1
441,Clinton,Sykes,2
442,Rich Bonomo,Sykes,1
443,Rebecca Forbes Wank,Sykes,1
444,Barry Burden,Chris Matthews,1
445,Chris Matthews,Madison,3
446,Chris Matthews,Heidi,1
447,Chris Matthews,Walker,1
448,Chris Matthews,Paul Ryan,1
449,Charles Franklin,Chris Matthews,1
450,Chris Matthews,Nate Cohn,1
451,Chris Matthews,Cohn,2
452,Chris Matthews,Paul Manafort,1
453,Chris Matthews,John Kasich,1
454,Chris Matthews,Kasich,1
455,Chris Matthews,Marco Rubio,1
456,Chris Matthews,Marquette,1
457,Chris Matthews,Tommy Thompson,1
458,Chris Matthews,Scott Klug,1
459,Chris Matthews,Hillary Clinton,1
460,Chris Matthews,Clinton,2
461,Chris Matthews,Rich Bonomo,1
462,Chris Matthews,Rebecca Forbes Wank,1
463,Barry Burden,Madison,3
464,Barry Burden,Heidi,1
465,Barry Burden,Walker,1
466,Barry Burden,Paul Ryan,1
467,Barry Burden,Charles Franklin,1
468,Barry Burden,Nate Cohn,1
469,Barry Burden,Cohn,2
470,Barry Burden,Paul Manafort,1
471,Barry Burden,John Kasich,1
472,Barry Burden,Kasich,1
473,Barry Burden,Marco Rubio,1
474,Barry Burden,Marquette,1
475,Barry Burden,Tommy Thompson,1
476,Barry Burden,Scott Klug,1
477,Barry Burden,Hillary Clinton,1
478,Barry Burden,Clinton,2
479,Barry Burden,Rich Bonomo,1
480,Barry Burden,Rebecca Forbes Wank,1
481,Heidi,Madison,3
482,Madison,Walker,3
483,Madison,Paul Ryan,3
484,Charles Franklin,Madison,3
485,Madison,Nate Cohn,3
486,Cohn,Madison,6
487,Madison,Paul Manafort,3
488,John Kasich,Madison,3
489,Kasich,Madison,3
490,Madison,Marco Rubio,3
491,Madison,Marquette,3
492,Madison,Tommy Thompson,3
493,Madison,Scott Klug,3
494,Hillary Clinton,Madison,3
495,Clinton,Madison,6
496,Madison,Rich Bonomo,3
497,Madison,Madison,3
498,Madison,Rebecca Forbes Wank,3
499,Heidi,Walker,1
500,Heidi,Paul Ryan,1
501,Charles Franklin,Heidi,1
502,Heidi,Nate Cohn,1
503,Cohn,Heidi,2
504,Heidi,Paul Manafort,1
505,Heidi,John Kasich,1
506,Heidi,Kasich,1
507,Heidi,Marco Rubio,1
508,Heidi,Marquette,1
509,Heidi,Tommy Thompson,1
510,Heidi,Scott Klug,1
511,Heidi,Hillary Clinton,1
512,Clinton,Heidi,2
513,Heidi,Rich Bonomo,1
514,Heidi,Rebecca Forbes Wank,1
515,Paul Ryan,Walker,1
516,Charles Franklin,Walker,1
517,Nate Cohn,Walker,1
518,Cohn,Walker,2
519,Paul Manafort,Walker,1
520,John Kasich,Walker,1
521,Kasich,Walker,1
522,Marco Rubio,Walker,1
523,Marquette,Walker,1
524,Tommy Thompson,Walker,1
525,Scott Klug,Walker,1
526,Hillary Clinton,Walker,1
527,Clinton,Walker,2
528,Rich Bonomo,Walker,1
529,Rebecca Forbes Wank,Walker,1
530,Charles Franklin,Paul Ryan,1
531,Nate Cohn,Paul Ryan,1
532,Cohn,Paul Ryan,2
533,Paul Manafort,Paul Ryan,1
534,John Kasich,Paul Ryan,1
535,Kasich,Paul Ryan,1
536,Marco Rubio,Paul Ryan,7
537,Marquette,Paul Ryan,1
538,Paul Ryan,Tommy Thompson,1
539,Paul Ryan,Scott Klug,1
540,Hillary Clinton,Paul Ryan,12
541,Clinton,Paul Ryan,33
542,Paul Ryan,Rich Bonomo,1
543,Paul Ryan,Rebecca Forbes Wank,1
544,Charles Franklin,Nate Cohn,1
545,Charles Franklin,Cohn,2
546,Charles Franklin,Paul Manafort,1
547,Charles Franklin,John Kasich,1
548,Charles Franklin,Kasich,1
549,Charles Franklin,Marco Rubio,1
550,Charles Franklin,Marquette,1
551,Charles Franklin,Tommy Thompson,1
552,Charles Franklin,Scott Klug,1
553,Charles Franklin,Hillary Clinton,1
554,Charles Franklin,Clinton,2
555,Charles Franklin,Rich Bonomo,1
556,Charles Franklin,Rebecca Forbes Wank,1
557,Cohn,Nate Cohn,2
558,Nate Cohn,Paul Manafort,1
559,John Kasich,Nate Cohn,1
560,Kasich,Nate Cohn,1
561,Marco Rubio,Nate Cohn,1
562,Marquette,Nate Cohn,1
563,Nate Cohn,Tommy Thompson,1
564,Nate Cohn,Scott Klug,1
565,Hillary Clinton,Nate Cohn,1
566,Clinton,Nate Cohn,2
567,Nate Cohn,Rich Bonomo,1
568,Nate Cohn,Rebecca Forbes Wank,1
569,Cohn,Cohn,1
570,Cohn,Paul Manafort,2
571,Cohn,John Kasich,2
572,Cohn,Kasich,2
573,Cohn,Marco Rubio,2
574,Cohn,Marquette,2
575,Cohn,Tommy Thompson,2
576,Cohn,Scott Klug,2
577,Cohn,Hillary Clinton,2
578,Clinton,Cohn,4
579,Cohn,Rich Bonomo,2
580,Cohn,Rebecca Forbes Wank,2
581,John Kasich,Paul Manafort,1
582,Kasich,Paul Manafort,1
583,Marco Rubio,Paul Manafort,1
584,Marquette,Paul Manafort,1
585,Paul Manafort,Tommy Thompson,1
586,Paul Manafort,Scott Klug,1
587,Hillary Clinton,Paul Manafort,2
588,Clinton,Paul Manafort,5
589,Paul Manafort,Rich Bonomo,1
590,Paul Manafort,Rebecca Forbes Wank,1
591,John Kasich,Kasich,1
592,John Kasich,Marco Rubio,5
593,John Kasich,Marquette,1
594,John Kasich,Tommy Thompson,1
595,John Kasich,Scott Klug,1
596,Hillary Clinton,John Kasich,6
597,Clinton,John Kasich,10
598,John Kasich,Rich Bonomo,1
599,John Kasich,Rebecca Forbes Wank,1
600,Kasich,Marco Rubio,1
601,Kasich,Marquette,1
602,Kasich,Tommy Thompson,1
603,Kasich,Scott Klug,1
604,Hillary Clinton,Kasich,1
605,Clinton,Kasich,2
606,Kasich,Rich Bonomo,1
607,Kasich,Rebecca Forbes Wank,1
608,Marco Rubio,Marquette,1
609,Marco Rubio,Tommy Thompson,1
610,Marco Rubio,Scott Klug,1
611,Hillary Clinton,Marco Rubio,8
612,Clinton,Marco Rubio,32
613,Marco Rubio,Rich Bonomo,1
614,Marco Rubio,Rebecca Forbes Wank,1
615,Marquette,Tommy Thompson,1
616,Marquette,Scott Klug,1
617,Hillary Clinton,Marquette,1
618,Clinton,Marquette,2
619,Marquette,Rich Bonomo,1
620,Marquette,Rebecca Forbes Wank,1
621,Scott Klug,Tommy Thompson,1
622,Hillary Clinton,Tommy Thompson,1
623,Clinton,Tommy Thompson,2
624,Rich Bonomo,Tommy Thompson,1
625,Rebecca Forbes Wank,Tommy Thompson,1
626,Hillary Clinton,Scott Klug,1
627,Clinton,Scott Klug,2
628,Rich Bonomo,Scott Klug,1
629,Rebecca Forbes Wank,Scott Klug,1
630,Clinton,Hillary Clinton,301
631,Hillary Clinton,Rich Bonomo,1
632,Hillary Clinton,Rebecca Forbes Wank,1
633,Clinton,Clinton,1071
634,Clinton,Rich Bonomo,2
635,Clinton,Rebecca Forbes Wank,2
636,Rebecca Forbes Wank,Rich Bonomo,1
637,Ben Franklin,James McHenry,1
638,Ben Franklin,Donald Trump,5
639,Ben Franklin,Hillary Clinton,3
640,Ben Franklin,Vladimir Putin,1
641,Ben Franklin,Kim Jong Un,1
642,Ben Franklin,Saddam Hussein,1
643,Ben Franklin,Trump,17
644,Ben Franklin,Jeff Bezos,1
645,Ben Franklin,Donald J. Trump,1
646,Ben Franklin,Clinton,10
647,Ben Franklin,Pat Buchanan,1
648,Ben Franklin,Buchanan,1
649,Barack Obama,Ben Franklin,1
650,Ben Franklin,Ronald Reagan’s,1
651,Ben Franklin,Bush,2
652,Ben Franklin,Michael Gerson,1
653,Ben Franklin,Donald Trump’s,1
654,Ben Franklin,George McGovern,1
655,Ben Franklin,Nixon,1
656,Ben Franklin,Ted Cruz,3
657,Ben Franklin,Rick Perry,2
658,Ben Franklin,Rand Paul,2
659,Ben Franklin,Marco Rubio,2
660,Ben Franklin,Paul Ryan,3
661,Ben Franklin,Mitch McConnell,1
662,Ben Franklin,Reince Priebus,1
663,Ben Franklin,Mike Pence,1
664,Ben Franklin,Dan Senor,1
665,Ben Franklin,McGoverned,1
666,Ben Franklin,Julia Azari,1
667,Ben Franklin,Hans Noel,1
668,Ben Franklin,Jeb Bush,1
669,Ben Franklin,Obama,4
670,Ben Franklin,Joe Biden,1
671,Ben Franklin,Sarah Rumpf,1
672,Ben Franklin,Breitbart,2
673,Ben Franklin,Ryan,1
674,Ben Franklin,Chris Hayes,1
675,Ben Franklin,Hayes,2
676,Ben Franklin,Sean Hannity,1
677,Donald Trump,James McHenry,5
678,Hillary Clinton,James McHenry,3
679,James McHenry,Vladimir Putin,1
680,James McHenry,Kim Jong Un,1
681,James McHenry,Saddam Hussein,1
682,James McHenry,Trump,17
683,James McHenry,Jeff Bezos,1
684,Donald J. Trump,James McHenry,1
685,Clinton,James McHenry,10
686,James McHenry,Pat Buchanan,1
687,Buchanan,James McHenry,1
688,Barack Obama,James McHenry,1
689,James McHenry,Ronald Reagan’s,1
690,Bush,James McHenry,2
691,James McHenry,Michael Gerson,1
692,Donald Trump’s,James McHenry,1
693,George McGovern,James McHenry,1
694,James McHenry,Nixon,1
695,James McHenry,Ted Cruz,3
696,James McHenry,Rick Perry,2
697,James McHenry,Rand Paul,2
698,James McHenry,Marco Rubio,2
699,James McHenry,Paul Ryan,3
700,James McHenry,Mitch McConnell,1
701,James McHenry,Reince Priebus,1
702,James McHenry,Mike Pence,1
703,Dan Senor,James McHenry,1
704,James McHenry,McGoverned,1
705,James McHenry,Julia Azari,1
706,Hans Noel,James McHenry,1
707,James McHenry,Jeb Bush,1
708,James McHenry,Obama,4
709,James McHenry,Joe Biden,1
710,James McHenry,Sarah Rumpf,1
711,Breitbart,James McHenry,2
712,James McHenry,Ryan,1
713,Chris Hayes,James McHenry,1
714,Hayes,James McHenry,2
715,James McHenry,Sean Hannity,1
716,Donald Trump,Vladimir Putin,8
717,Donald Trump,Kim Jong Un,5
718,Donald Trump,Saddam Hussein,5
719,Donald Trump,Jeff Bezos,5
720,Donald J. Trump,Donald Trump,8
721,Donald Trump,Pat Buchanan,5
722,Buchanan,Donald Trump,5
723,Barack Obama,Donald Trump,21
724,Donald Trump,Ronald Reagan’s,5
725,Bush,Donald Trump,63
726,Donald Trump,Michael Gerson,5
727,Donald Trump,Donald Trump’s,23
728,Donald Trump,George McGovern,5
729,Donald Trump,Nixon,13
730,Donald Trump,Rick Perry,12
731,Donald Trump,Rand Paul,12
732,Donald Trump,Mitch McConnell,8
733,Donald Trump,Reince Priebus,6
734,Donald Trump,Mike Pence,5
735,Dan Senor,Donald Trump,5
736,Donald Trump,McGoverned,5
737,Donald Trump,Julia Azari,5
738,Donald Trump,Hans Noel,5
739,Donald Trump,Jeb Bush,27
740,Donald Trump,Obama,37
741,Donald Trump,Joe Biden,5
742,Donald Trump,Sarah Rumpf,5
743,Breitbart,Donald Trump,10
744,Donald Trump,Ryan,5
745,Chris Hayes,Donald Trump,5
746,Donald Trump,Hayes,10
747,Donald Trump,Sean Hannity,5
748,Hillary Clinton,Vladimir Putin,3
749,Hillary Clinton,Kim Jong Un,3
750,Hillary Clinton,Saddam Hussein,3
751,Hillary Clinton,Jeff Bezos,3
752,Hillary Clinton,Hillary Clinton,23
753,Donald J. Trump,Hillary Clinton,4
754,Hillary Clinton,Pat Buchanan,3
755,Buchanan,Hillary Clinton,3
